datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-09-20,2019-09-20,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,131.0,ug/m3,automatico,2019,9,20,18,,2019-09-20 18:00:00
2019-10-04,2019-10-04,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,131.0,ug/m3,automatico,2019,10,4,17,,2019-10-04 17:00:00
2019-09-23,2019-09-23,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,130.0,ug/m3,automatico,2019,9,23,13,,2019-09-23 13:00:00
2019-09-21,2019-09-21,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,129.0,ug/m3,automatico,2019,9,21,21,,2019-09-21 21:00:00
2019-09-30,2019-09-30,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,129.0,ug/m3,automatico,2019,9,30,00,,2019-09-30 00:00:00
2019-09-14,2019-09-14,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,128.0,ug/m3,automatico,2019,9,14,14,,2019-09-14 14:00:00
2019-09-22,2019-09-22,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,128.0,ug/m3,automatico,2019,9,22,01,,2019-09-22 01:00:00
2019-09-26,2019-09-26,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,128.0,ug/m3,automatico,2019,9,26,15,,2019-09-26 15:00:00
2019-09-14,2019-09-14,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,127.0,ug/m3,automatico,2019,9,14,01,,2019-09-14 01:00:00
2019-09-22,2019-09-22,03:00:00,UM Alto Alegre - Móvel,CE03,MP10,127.0,ug/m3,automatico,2019,9,22,03,,2019-09-22 03:00:00
2019-10-05,2019-10-05,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,127.0,ug/m3,automatico,2019,10,5,16,,2019-10-05 16:00:00
2019-10-06,2019-10-06,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,127.0,ug/m3,automatico,2019,10,6,23,,2019-10-06 23:00:00
2019-09-16,2019-09-16,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,126.0,ug/m3,automatico,2019,9,16,18,,2019-09-16 18:00:00
2019-09-23,2019-09-23,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,125.0,ug/m3,automatico,2019,9,23,17,,2019-09-23 17:00:00
2019-09-18,2019-09-18,11:00:00,UM Alto Alegre - Móvel,CE03,MP10,124.0,ug/m3,automatico,2019,9,18,11,,2019-09-18 11:00:00
