Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-09-04,05:00:00,CIPP,CE01,CO,515,ug/m3,automatico
2016-09-04,06:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-04,07:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-09-04,08:00:00,CIPP,CE01,CO,435,ug/m3,automatico
2016-09-04,09:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-04,10:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-09-04,11:00:00,CIPP,CE01,CO,309,ug/m3,automatico
2016-09-04,12:00:00,CIPP,CE01,CO,275,ug/m3,automatico
2016-09-04,13:00:00,CIPP,CE01,CO,263,ug/m3,automatico
2016-09-04,14:00:00,CIPP,CE01,CO,252,ug/m3,automatico
2016-09-04,15:00:00,CIPP,CE01,CO,240,ug/m3,automatico
2016-09-04,16:00:00,CIPP,CE01,CO,252,ug/m3,automatico
2016-09-04,17:00:00,CIPP,CE01,CO,344,ug/m3,automatico
2016-09-04,18:00:00,CIPP,CE01,CO,504,ug/m3,automatico
2016-09-04,19:00:00,CIPP,CE01,CO,572,ug/m3,automatico
2016-09-04,20:00:00,CIPP,CE01,CO,607,ug/m3,automatico
2016-09-04,21:00:00,CIPP,CE01,CO,618,ug/m3,automatico
2016-09-04,22:00:00,CIPP,CE01,CO,698,ug/m3,automatico
2016-09-04,23:00:00,CIPP,CE01,CO,687,ug/m3,automatico
2016-09-05,00:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-09-05,01:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-05,02:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-05,03:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2016-09-05,04:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-05,05:00:00,CIPP,CE01,CO,538,ug/m3,automatico
2016-09-05,06:00:00,CIPP,CE01,CO,641,ug/m3,automatico
2016-09-05,07:00:00,CIPP,CE01,CO,779,ug/m3,automatico
2016-09-05,08:00:00,CIPP,CE01,CO,802,ug/m3,automatico
2016-09-05,09:00:00,CIPP,CE01,CO,870,ug/m3,automatico
2016-09-05,10:00:00,CIPP,CE01,CO,698,ug/m3,automatico
2016-09-05,11:00:00,CIPP,CE01,CO,527,ug/m3,automatico
2016-09-05,12:00:00,CIPP,CE01,CO,492,ug/m3,automatico
2016-09-05,13:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-09-05,14:00:00,CIPP,CE01,CO,401,ug/m3,automatico
2016-09-05,15:00:00,CIPP,CE01,CO,366,ug/m3,automatico
2016-09-05,16:00:00,CIPP,CE01,CO,424,ug/m3,automatico
2016-09-05,17:00:00,CIPP,CE01,CO,447,ug/m3,automatico
2016-09-05,18:00:00,CIPP,CE01,CO,469,ug/m3,automatico
